signal_date,code,name,label,action,skip_reason,skip_reason_detail,fill_date,open_positions_count,held_codes
20260317,380540,옵티코어,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260401,001780,알루코,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260414,025820,이구산업,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260420,307180,아이엘,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260424,297090,씨에스베어링,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260508,329180,HD현대중공업,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260227,383310,에코프로에이치엔,🏆 최강,EXECUTE,EXECUTED,,2026-03-03,0,
20260302,383310,에코프로에이치엔,🏆 최강,SKIP,SAME_TICKER_ALREADY_HELD,이미 보유 중,2026-03-03,1,383310
20260324,298020,효성티앤씨,🏆 최강,EXECUTE,EXECUTED,,2026-03-26,0,
20260327,356860,티엘비,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-03-30,1,298020
20260403,054920,한컴위드,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-06,1,298020
20260406,289930,웨이비스,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-07,1,298020
20260408,054920,한컴위드,🏆 최강,EXECUTE,EXECUTED,,2026-04-09,0,
20260409,373220,LG에너지솔루션,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-10,1,054920
20260410,282330,BGF리테일,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-13,1,054920
20260413,009410,태영건설,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-14,1,054920
20260415,036200,유니셈,🏆 최강,EXECUTE,EXECUTED,,2026-04-16,0,
20260416,012330,현대모비스,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-17,1,036200
20260417,012450,한화에어로스페이스,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-20,1,036200
20260421,096770,SK이노베이션,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-24,1,036200
20260423,297090,씨에스베어링,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-24,1,036200
20260427,039490,키움증권,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-28,1,036200
20260430,089010,켐트로닉스,🏆 최강,EXECUTE,EXECUTED,,2026-05-04,0,
20260501,089010,켐트로닉스,🏆 최강,SKIP,SAME_TICKER_ALREADY_HELD,이미 보유 중,2026-05-04,1,089010
20260504,100130,동국S&C,🏆 최강,EXECUTE,EXECUTED,,2026-05-06,0,
20260505,100130,동국S&C,🏆 최강,SKIP,SAME_TICKER_ALREADY_HELD,이미 보유 중,2026-05-06,1,100130
20260506,042510,라온시큐어,🏆 최강,EXECUTE,EXECUTED,,2026-05-08,0,
20260507,417500,제이아이테크,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-08,1,042510
20260511,078930,GS,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-12,1,042510
20260513,087010,펩트론,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-14,1,042510
20260522,321370,센서뷰,🏆 최강,EXECUTE,EXECUTED,,2026-05-26,0,
20260525,321370,센서뷰,🏆 최강,SKIP,SAME_TICKER_ALREADY_HELD,이미 보유 중,2026-05-26,1,321370
20260526,000815,삼성화재우,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-05-27,1,321370
20260604,007660,이수페타시스,🏆 최강,EXECUTE,EXECUTED,,2026-06-05,0,
20260617,089030,테크윙,🏆 최강,EXECUTE,EXECUTED,,2026-06-18,0,
20260701,037710,광주신세계,🏆 최강,EXECUTE,EXECUTED,,2026-07-03,0,
20260709,161890,한국콜마,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-07-10,1,037710
